batch,source,batch number,batch date,elements
uoft4_240318,uoft,4,240318,"['Ag', 'Cu', 'Pd', 'Au', 'Hg', 'Tl', 'Rh']"
uoft5_240507,uoft,5,240507,"['Ag', 'Au', 'Tl', 'Pd', 'Cd', 'Cu', 'Hg', 'Ga', 'In']"
uoft6_240624,uoft,6,240624,"['Ag', 'Au', 'Cd', 'Tl', 'Pd', 'Sn', 'Cu']"
uoft7_240716,uoft,7,240716,"['Ag', 'Au', 'Pd', 'Cu', 'Rh']"
uoft8_241008,uoft,8,241008,"['Ag', 'Cd', 'Au', 'Pd', 'Cu', 'Hg', 'Ni']"
uoft9_241008,uoft,9,241008,"['Au', 'Pd', 'Ag', 'Cu', 'Hg']"
vsp1_240503,vsp,1,240503,"['Ag', 'Au']"
vsp2_240718,vsp,2,240718,"['Au', 'In']"
vsp3_240718,vsp,3,240718,"['Au', 'Cu']"
vsp4_240726,vsp,4,240726,"['Pd', 'Sn']"
vsp5_241011,vsp,5,241011,"['Ag','Pd']"
vsp6_240718,vsp,6,240718,"['In', 'Zn']"
vsp7_241025,vsp,7,241025,"['Cu','Zn']"
vsp8_240802,vsp,8,240802,"['Pd', 'Zn']"
vsp9_240726,vsp,9,240726,"['Sn', 'Zn']"
vsp10_240726,vsp,10,240726,"['Au', 'Zn']"
vsp11_240802,vsp,11,240802,"['Ag', 'Zn']"
vsp12_240816,vsp,12,240816,"['Ag', 'In', 'Sn']"
vsp13_240823,vsp,13,240823,"['Ag', 'Au', 'Zn']"
vsp14_240906,vsp,14,240906,"['Au', 'Cu', 'Zn']"
vsp15_240809,vsp,15,240809,"['Au', 'In', 'Pd']"
vsp20_241011,vsp,20,241011,"['Ag','Au','Cu']"
vsp23_241018,vsp,23,241018,"['Ag', 'Ga']"
vsp26_241025,vsp,26,241025,"['Au', 'Ga']"
vsp27_241030,vsp,27,241030,"['Au','Ga','Pd']"
vsp28_240927,vsp,28,240927,"['Au','Cu','Pd']"
vsp29_241004,vsp,29,241004,"['Ag','Au','Pd']"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
